16
848 1619
522 773 442
587 822 156
409 361 364
776 694 292
646 403 757
184 465 498
485 829 566
378 841 399
102 690 531
65 123 420
519 789 800
441 818 829
395 704 648
424 709 778
299 441 499
595 766 271
776 76 516
637 601 515
771 46 890
127 265 183
216 714 248
114 369 157
70 346 734
481 274 109
646 138 30
124 54 520
105 152 284
213 584 718
186 464 923
363 184 266
479 477 403
673 208 857
260 307 55
305 369 223
128 424 912
420 477 337
311 210 633
162 268 315
42 522 813
411 207 281
678 508 150
144 539 116
264 757 47
683 468 679
126 244 135
729 406 467
25 167 47
420 626 659
669 560 674
723 98 451
529 736 359
431 777 384
671 795 737
271 736 458
345 824 658
186 342 804
848 447 903
561 84 488
794 644 461
340 448 402
342 400 709
278 503 49
530 25 418
338 119 627
526 361 133
342 685 928
557 399 562
352 5 39
675 606 724
39 352 3
484 323 479
634 56 349
707 511 305
743 364 99
582 613 863
479 744 983
27 472 775
32 848 962
483 566 852
298 422 732
450 727 133
582 545 512
372 73 169
159 408 468
98 377 465
806 217 462
775 26 791
400 620 766
444 490 897
713 223 528
289 786 305
255 654 596
725 518 737
544 335 798
12 45 639
753 248 674
206 546 683
460 367 945
653 219 440
440 585 810
278 218 984
82 20 541
151 27 446
691 347 483
255 398 178
564 813 727
364 830 375
502 656 193
21 259 478
387 529 267
399 692 973
445 519 574
830 91 79
678 570 648
84 836 515
828 245 491
146 350 372
592 406 298
91 828 897
520 64 500
119 303 541
602 631 931
747 785 305
140 535 768
623 162 286
187 821 655
11 390 412
91 261 582
563 835 253
390 504 430
848 222 558
842 433 750
516 408 706
706 608 561
636 530 914
175 151 392
655 359 249
584 487 452
293 129 112
187 780 823
186 122 450
484 258 704
633 57 181
511 253 740
430 614 395
91 583 598
400 334 348
624 520 612
254 423 589
405 5 134
120 93 116
397 699 618
380 401 892
270 565 851
55 116 799
336 838 126
391 575 414
603 451 73
420 117 765
565 4 310
513 590 67
602 445 452
464 294 588
275 725 859
792 110 482
709 406 933
589 806 638
382 755 441
105 653 12
835 648 85
184 650 242
592 193 440
402 100 42
462 294 162
80 787 759
122 330 928
639 737 134
800 755 756
8 167 458
497 94 686
652 133 798
50 57 635
399 51 239
139 118 579
59 1 814
247 429 223
707 357 733
420 439 862
348 600 64
419 801 887
376 639 153
666 224 1
533 481 884
121 199 60
64 440 532
57 107 635
257 394 266
640 84 633
627 485 783
84 650 14
670 428 39
643 550 862
266 433 835
284 308 381
795 502 579
262 201 569
477 690 677
63 421 191
814 145 885
761 52 734
275 425 600
404 277 390
457 709 782
140 663 362
44 783 892
189 552 553
373 766 136
738 418 348
611 220 114
141 683 383
275 339 826
649 150 864
68 72 521
135 246 138
419 815 499
430 217 767
473 193 978
752 769 25
545 591 901
466 53 365
671 165 739
648 639 212
689 661 140
590 223 421
484 264 363
344 173 505
569 534 197
403 833 379
821 358 174
135 650 531
728 689 346
179 575 410
17 395 76
512 569 646
838 695 823
778 152 770
247 25 370
128 807 641
657 811 217
738 501 296
133 382 358
217 220 539
25 789 799
232 697 854
846 231 446
361 734 695
826 250 800
190 372 843
59 730 51
335 528 763
480 235 718
236 266 71
229 63 78
546 678 984
839 507 825
759 488 978
495 47 477
263 27 956
375 464 624
526 232 749
242 125 492
168 339 359
34 409 290
763 453 725
550 696 144
695 728 895
470 129 259
179 106 871
765 148 920
720 268 127
758 374 978
771 427 266
48 544 361
463 383 922
710 775 685
378 783 190
661 490 364
736 23 824
342 500 306
385 518 224
608 237 735
518 610 389
47 670 435
30 330 537
358 100 750
307 697 733
276 772 153
421 698 647
680 400 605
21 305 4
530 233 425
202 578 158
494 543 7
665 57 571
371 845 229
302 835 422
461 498 774
157 781 159
328 307 929
499 584 492
340 746 292
780 326 778
777 236 351
373 419 748
614 819 597
618 658 787
711 636 497
192 419 706
47 326 628
626 72 81
787 32 379
586 287 257
580 396 969
757 333 392
137 639 463
728 665 586
637 436 282
432 479 876
661 327 793
582 234 760
318 703 345
682 182 589
264 611 434
287 424 370
186 199 796
820 374 237
288 42 914
691 625 357
146 238 740
100 84 431
467 371 4
294 698 23
419 568 190
605 564 1000
802 273 254
591 322 746
725 703 676
300 621 365
43 87 596
512 506 260
474 693 877
602 118 642
132 198 821
729 292 241
285 541 5
290 291 587
371 305 689
351 151 112
329 310 927
231 333 137
725 669 794
226 676 912
370 609 797
606 164 431
328 401 200
743 397 705
643 195 527
296 89 932
394 378 618
33 268 878
772 793 670
785 586 435
649 775 327
466 840 652
478 277 211
647 565 708
824 76 388
660 684 154
223 193 208
367 487 878
32 389 770
624 241 752
383 836 499
212 165 443
301 725 329
81 758 809
528 666 49
245 805 831
298 432 998
492 274 448
761 560 64
768 116 437
218 559 373
414 142 578
130 656 51
675 423 170
133 276 788
283 434 887
45 303 686
400 369 341
458 419 77
817 396 497
137 16 279
97 162 299
606 179 945
41 223 861
241 477 171
278 427 47
174 301 773
11 91 133
772 637 776
541 819 743
342 487 359
401 609 827
665 422 173
335 604 18
738 122 586
419 65 191
714 399 151
487 44 709
422 763 753
190 109 748
364 705 338
384 79 812
99 652 913
205 56 349
398 692 888
412 249 495
720 728 653
676 718 537
610 206 913
24 722 404
448 349 967
702 713 28
264 282 523
129 97 558
447 335 399
185 494 101
7 100 345
813 309 390
256 510 929
287 118 242
721 98 206
614 594 98
353 427 505
223 794 467
219 839 797
791 310 189
42 666 574
432 325 902
815 237 463
503 259 327
18 13 650
488 793 7
44 714 947
161 560 871
232 500 503
466 186 537
678 828 823
221 446 341
391 41 591
569 708 623
176 589 992
251 549 790
838 711 813
437 405 116
638 388 564
136 53 367
444 801 412
371 285 252
179 555 941
324 479 831
543 773 869
844 507 766
472 391 141
598 403 72
390 543 401
771 477 238
526 84 434
675 819 478
12 230 20
410 432 442
124 244 977
468 343 459
71 444 263
575 42 740
765 846 968
239 193 597
17 164 122
218 770 173
793 1 523
573 725 159
403 55 72
730 197 233
519 108 736
35 179 294
628 63 790
581 163 585
718 456 288
461 93 694
363 136 333
234 104 484
139 485 942
51 125 854
842 817 500
345 381 330
421 264 112
491 828 43
437 73 655
127 137 311
634 321 709
686 670 321
223 145 434
352 283 187
329 308 689
109 416 910
637 773 430
361 780 210
740 91 20
107 444 726
717 220 195
66 302 816
763 338 519
226 513 26
35 512 439
513 348 570
285 603 498
424 243 697
151 356 962
415 10 715
707 254 967
284 759 703
108 251 155
477 344 337
206 809 852
649 381 536
501 675 480
180 494 216
763 800 368
779 574 539
699 631 809
86 261 990
75 25 737
348 353 418
372 283 720
359 772 155
83 271 23
532 283 869
794 842 825
764 772 681
278 568 157
449 830 168
277 678 211
267 206 381
149 230 387
156 117 209
472 489 319
391 797 355
684 762 771
257 540 15
681 283 864
112 844 539
190 184 598
834 824 355
324 800 183
692 772 76
25 299 83
407 108 651
746 354 803
766 595 666
509 732 438
796 325 340
553 193 168
732 446 522
664 519 814
231 475 197
426 568 76
513 20 579
478 700 334
800 524 306
628 474 944
753 125 87
178 248 325
540 739 185
598 451 166
275 666 511
668 435 834
82 613 720
149 758 625
796 289 820
492 834 598
265 251 702
149 634 745
293 222 971
271 322 433
249 391 855
307 9 889
785 359 14
812 490 598
555 180 854
307 204 105
60 732 664
406 296 669
490 60 186
392 79 276
33 258 174
742 711 741
726 232 596
598 197 66
505 430 470
509 517 108
612 197 250
827 322 524
159 562 927
133 61 46
138 105 330
332 508 666
800 559 756
460 594 813
802 56 506
815 392 118
288 382 639
842 729 641
380 470 831
490 452 51
398 457 314
758 366 925
524 259 50
259 782 175
389 18 312
220 320 534
834 666 408
573 658 542
301 790 913
777 846 585
163 552 372
428 433 126
260 534 353
769 452 733
598 378 187
449 86 372
84 786 29
637 283 552
325 298 924
739 91 502
362 537 690
389 523 977
259 86 905
264 296 774
751 486 895
568 88 890
29 669 847
424 339 408
522 431 110
164 216 678
731 761 989
622 665 890
832 218 902
551 179 648
170 110 330
562 555 543
595 681 350
787 153 812
328 95 540
631 232 371
97 330 778
102 704 479
130 367 733
765 843 595
9 222 768
576 153 81
711 745 12
630 239 863
464 626 378
303 124 956
817 608 180
821 189 473
53 640 936
170 818 543
212 15 141
38 463 526
155 610 785
841 323 893
62 796 493
791 554 977
63 132 863
411 760 236
639 598 625
378 397 360
230 704 233
511 494 921
490 117 152
48 730 624
193 208 178
359 263 84
530 430 443
325 10 290
491 820 527
785 42 33
468 802 813
720 457 587
305 657 475
67 196 660
415 240 266
740 511 473
690 474 939
367 142 885
497 210 577
586 388 345
364 662 498
726 702 413
424 441 717
84 484 9
830 131 76
717 421 169
179 588 907
493 369 289
410 44 1
387 613 759
102 457 361
628 304 531
704 194 913
166 572 450
72 717 191
666 470 798
755 783 608
370 581 193
94 263 779
189 843 290
756 8 484
585 818 89
320 787 522
731 787 724
21 256 102
465 834 630
123 156 808
707 312 763
844 358 534
810 148 629
755 173 199
140 478 97
454 637 526
154 282 566
488 828 555
843 731 242
773 444 242
717 634 834
364 410 24
116 727 638
493 562 143
478 747 78
538 88 851
838 762 298
797 22 873
500 792 897
64 94 725
259 495 82
748 612 106
369 562 337
535 718 997
838 198 371
469 127 321
612 472 751
827 197 80
664 726 80
215 780 134
427 169 759
291 628 877
4 43 681
704 216 993
426 769 153
704 692 614
253 151 867
267 333 394
222 626 787
638 658 750
479 289 620
414 801 261
835 338 999
783 434 183
116 657 174
414 324 746
573 739 495
448 173 600
145 498 451
573 220 912
555 556 984
762 587 259
702 155 6
426 241 556
157 93 326
566 372 31
346 507 588
155 539 857
320 603 415
114 359 801
406 123 72
385 731 681
371 842 352
779 300 560
323 847 820
394 516 16
78 408 164
31 446 104
236 712 898
279 839 68
699 13 682
105 540 153
588 648 410
789 512 520
494 321 711
499 434 110
54 317 398
502 672 102
252 396 866
575 366 334
661 22 267
741 480 420
102 186 876
315 579 209
577 817 114
636 470 314
266 170 132
300 203 964
374 183 416
375 122 191
304 484 852
528 436 598
778 518 731
623 713 94
603 208 553
260 795 593
2 595 24
218 150 326
379 822 795
224 616 223
802 598 377
87 570 779
69 472 27
79 91 134
450 211 751
218 328 299
551 175 463
310 49 863
255 121 1000
274 256 511
750 486 764
187 335 428
194 778 804
568 348 760
177 761 442
139 93 108
369 734 166
736 151 647
140 220 351
649 465 582
609 181 623
353 83 905
800 10 525
481 86 148
848 290 783
776 23 590
596 3 724
704 469 480
720 122 857
387 805 998
69 671 239
639 192 894
574 282 216
496 238 588
632 674 431
409 546 831
267 224 911
487 154 410
297 470 569
89 797 913
268 194 332
124 41 179
628 550 484
782 328 765
496 171 378
62 12 948
284 358 745
503 176 207
772 136 271
459 184 602
520 52 803
228 79 405
625 658 337
291 733 364
482 637 96
629 573 240
794 663 931
436 117 466
351 685 820
392 659 569
308 698 677
745 231 53
194 175 912
243 448 204
351 97 592
574 696 403
304 445 713
151 551 960
492 189 257
708 214 427
507 23 845
97 387 29
206 65 322
773 558 671
298 29 625
455 70 360
655 396 884
453 743 229
740 755 640
187 287 225
262 356 48
509 685 873
101 51 651
476 156 35
519 259 460
212 843 490
836 725 946
530 202 445
541 212 870
824 48 1000
165 304 170
8 177 931
168 465 154
622 81 197
474 823 483
280 807 428
346 842 950
739 773 34
392 505 76
116 3 445
666 617 402
358 792 508
425 37 18
497 149 955
389 387 104
68 164 938
201 408 544
207 555 537
760 596 152
734 691 25
168 663 586
426 157 265
439 717 375
59 818 552
679 325 118
39 833 259
287 467 401
40 670 554
198 38 238
753 151 26
603 511 782
780 56 362
152 607 873
332 151 644
13 54 73
67 139 577
62 750 889
774 468 733
494 431 210
496 709 340
479 89 230
130 460 978
606 561 648
97 346 273
281 498 182
701 406 645
482 748 835
372 142 991
655 319 714
796 232 812
445 299 289
540 783 106
761 217 591
345 221 496
432 539 528
554 382 778
345 344 387
583 804 233
740 290 615
448 144 446
792 252 812
73 296 333
706 498 214
206 422 106
246 160 890
681 181 330
813 686 822
837 89 147
700 260 370
328 207 418
784 644 496
348 770 755
613 701 221
664 481 547
20 269 102
342 101 818
736 786 896
642 457 193
553 316 551
353 110 572
99 476 376
632 404 408
24 397 885
524 395 529
809 120 400
314 606 8
605 342 654
52 764 165
49 277 36
770 685 551
715 355 502
691 476 191
565 526 740
53 837 5
77 807 701
82 281 347
538 234 95
211 78 348
666 560 124
707 583 277
338 401 64
181 289 963
708 617 945
599 541 826
806 704 879
630 441 681
333 241 57
285 494 802
507 69 242
7 413 632
22 754 588
120 265 219
654 63 833
742 431 708
630 629 111
723 732 820
798 501 153
793 652 867
646 484 490
2 138 781
228 499 410
223 720 171
477 8 566
97 336 961
537 662 551
367 384 463
340 120 354
600 474 327
520 394 422
726 674 977
26 183 792
823 105 457
356 228 512
228 225 342
432 141 591
445 552 47
382 688 934
196 376 529
507 141 814
813 620 453
451 46 603
447 576 396
596 63 99
352 781 551
477 192 166
156 469 917
632 206 383
309 305 693
66 241 891
210 165 465
394 118 545
726 117 1000
286 82 909
544 240 640
536 379 84
71 753 115
844 243 801
349 686 390
534 118 834
735 554 672
230 675 19
233 61 575
236 771 265
718 568 736
294 184 779
180 465 388
533 230 190
332 80 360
801 282 785
2 710 713
139 291 362
485 276 24
591 466 521
326 224 363
117 320 934
655 152 978
629 831 676
791 657 433
643 776 158
176 191 1
598 115 778
35 657 200
350 660 774
539 633 260
295 151 752
117 160 805
174 204 191
840 524 59
231 704 491
161 231 827
787 811 791
660 582 354
314 461 196
707 440 425
580 725 541
722 499 110
520 69 589
809 267 653
667 185 190
649 59 710
608 106 243
572 410 375
402 67 603
75 347 546
304 142 554
314 586 253
760 657 802
301 251 328
659 188 586
234 136 496
262 782 548
544 215 368
636 592 980
501 356 991
142 184 393
602 172 941
370 423 884
537 825 698
384 186 331
82 320 16
168 313 609
788 492 550
621 751 181
344 35 658
757 843 373
142 410 518
355 217 209
500 734 445
127 799 780
769 488 913
638 809 451
348 537 362
771 407 986
388 535 429
32 16 85
292 93 24
668 651 161
740 775 493
818 424 440
457 129 248
87 408 365
625 238 801
573 664 126
395 713 404
987 1891
628 711 144
351 237 754
522 847 548
748 651 213
935 808 124
694 418 935
194 259 450
31 855 330
159 550 885
845 15 698
333 867 279
431 796 688
680 811 883
964 908 94
466 448 63
959 761 908
836 980 449
327 883 283
263 980 325
168 49 256
23 445 504
846 682 109
273 237 680
43 800 786
88 448 938
562 501 806
337 566 125
820 559 291
330 958 770
427 526 855
488 147 941
96 218 12
779 757 423
65 593 250
723 231 916
221 393 442
953 268 312
72 790 264
141 944 970
235 402 675
657 687 284
385 642 309
275 498 743
19 632 521
924 94 429
550 209 402
460 415 197
26 941 511
445 753 524
643 821 142
74 775 25
143 77 91
941 871 356
527 381 472
790 259 110
105 806 351
842 157 371
648 579 290
114 814 117
808 789 799
602 504 861
363 61 813
532 449 321
168 803 568
259 582 971
337 461 439
463 48 452
952 84 518
912 716 556
376 71 171
403 881 851
4 873 357
454 543 357
80 617 517
820 914 701
918 267 543
70 745 541
499 169 403
799 118 425
554 636 453
290 101 112
94 810 787
766 731 806
232 974 833
430 424 533
923 240 274
354 848 892
177 963 298
895 412 558
302 962 9
695 436 746
299 139 368
561 691 37
280 805 336
52 387 784
636 360 558
671 806 897
172 390 575
380 359 128
822 35 559
494 242 602
503 139 429
96 6 288
852 310 991
429 313 165
178 370 457
664 827 248
734 296 168
547 817 704
942 661 440
600 49 588
695 790 134
37 455 484
489 126 949
287 345 213
278 877 298
943 700 457
128 304 671
331 36 490
831 591 720
817 852 345
282 966 899
806 226 996
184 34 28
757 554 388
523 857 570
561 225 772
12 971 571
371 461 561
115 258 701
245 913 117
655 212 219
475 545 325
319 786 184
229 582 857
802 778 787
973 247 171
202 846 738
334 474 941
742 694 304
40 232 4
672 826 240
837 437 753
952 418 922
236 341 478
838 57 982
572 232 954
225 153 623
194 745 879
954 674 15
711 864 608
277 180 820
197 834 244
636 944 376
30 44 949
147 101 181
403 9 707
748 507 163
836 67 252
453 222 78
122 566 141
492 940 584
348 706 600
209 109 249
597 881 815
7 70 357
109 650 157
401 266 373
643 512 716
744 854 259
633 262 944
334 389 353
979 777 338
416 285 410
968 934 355
587 47 689
545 391 503
163 14 141
557 103 719
286 612 90
692 392 392
424 535 113
347 243 636
204 189 339
723 228 592
577 308 117
291 628 648
378 225 921
827 207 467
153 16 799
373 698 967
200 849 146
939 702 390
262 292 984
530 577 629
536 467 945
301 654 586
297 173 277
709 896 123
851 480 347
502 12 311
623 843 442
575 831 647
542 805 183
757 358 611
709 8 778
363 185 584
451 474 863
681 688 417
48 303 428
203 713 139
725 889 874
462 330 474
377 309 431
539 264 913
884 55 135
510 304 929
833 26 588
516 770 244
19 723 908
679 946 745
859 190 885
180 330 297
561 298 363
524 320 41
288 154 625
106 841 329
199 459 763
885 243 203
419 785 541
98 621 486
339 215 527
918 169 253
183 786 517
209 631 203
932 822 214
49 306 998
728 827 479
330 342 848
189 711 353
506 295 935
308 671 527
135 343 19
850 776 583
684 821 429
487 661 699
145 515 733
562 185 429
843 185 655
367 178 593
210 242 232
933 931 392
243 466 827
934 787 98
378 872 203
398 641 306
925 978 784
621 341 630
304 622 910
290 670 856
927 712 425
451 189 367
630 987 651
34 72 716
710 348 786
746 691 997
643 180 153
491 789 361
614 590 588
45 370 373
72 95 197
842 632 975
108 734 197
53 908 726
915 524 998
155 985 599
271 837 240
726 227 213
767 55 170
338 672 991
614 548 1000
484 692 723
48 427 872
967 267 605
475 971 356
154 491 35
599 27 545
289 485 564
836 233 905
31 881 544
609 280 803
91 186 873
938 763 859
2 282 865
497 378 405
206 668 199
584 194 974
7 609 406
642 194 947
920 819 848
927 785 179
882 697 705
457 894 690
686 625 447
677 477 667
661 507 780
200 648 766
580 160 338
520 678 759
907 865 398
987 784 524
914 63 675
72 58 246
833 961 256
240 786 419
260 267 104
645 562 444
333 810 937
406 729 244
105 342 235
466 901 490
28 653 570
93 629 183
161 178 483
916 128 70
13 732 890
883 103 592
108 627 211
401 692 26
47 205 56
553 616 798
679 129 905
885 760 695
965 643 563
694 648 526
72 808 868
908 156 181
322 657 323
790 293 460
567 377 134
257 728 30
578 222 21
912 463 594
835 962 297
437 505 19
295 443 298
972 677 705
955 152 413
66 946 428
912 106 589
968 59 473
47 508 190
131 229 618
710 442 801
684 404 114
601 7 800
966 528 283
543 164 41
895 274 820
503 219 821
228 283 320
156 938 618
123 197 278
138 65 445
95 981 56
844 897 610
430 696 401
929 593 669
889 28 716
806 171 122
611 573 671
707 921 119
636 76 357
749 127 292
133 269 192
767 893 640
929 592 530
651 291 731
444 843 198
24 961 910
529 170 800
74 919 276
482 123 452
795 756 706
694 538 538
652 855 348
748 799 843
109 572 149
540 958 16
102 81 592
595 557 387
556 234 131
736 276 470
130 576 406
139 476 406
5 982 390
852 546 792
226 201 845
885 817 951
186 945 975
193 255 899
3 609 506
899 561 384
540 357 709
716 323 549
152 593 848
195 169 313
184 332 792
728 553 611
411 777 93
692 93 269
567 938 540
135 183 184
683 673 72
120 214 856
320 345 852
70 197 385
885 957 453
854 145 144
650 405 969
855 406 324
937 872 982
293 287 790
207 648 983
58 382 830
75 824 1
750 980 23
967 92 1000
112 17 247
174 987 764
267 985 744
481 968 237
849 781 855
88 612 659
754 906 510
409 184 435
849 82 383
309 826 530
226 159 547
615 170 523
441 618 714
212 553 594
521 631 215
131 26 518
724 312 129
110 540 492
671 619 258
486 92 439
221 788 404
764 907 803
838 276 966
545 339 239
857 354 427
873 70 598
674 161 41
17 132 868
700 851 926
383 916 375
292 576 199
228 545 603
667 198 520
130 697 486
624 245 928
785 508 473
104 930 707
489 611 690
775 47 929
147 648 847
935 312 583
641 343 804
585 116 253
648 833 871
393 706 126
41 365 545
181 206 885
525 501 176
408 39 339
145 101 574
754 313 660
454 435 346
19 738 926
18 551 785
955 920 877
440 188 880
201 277 583
94 850 742
207 760 171
712 632 562
747 336 388
767 152 413
949 842 667
399 584 930
528 146 788
244 31 561
436 628 940
244 532 113
508 316 577
141 801 366
377 207 996
288 228 461
778 733 631
734 114 235
488 769 475
132 196 428
716 379 631
832 128 470
486 166 255
824 544 996
579 460 907
587 106 110
962 457 501
31 378 54
719 210 25
469 680 520
257 905 248
384 34 293
604 278 35
816 92 978
394 432 941
873 600 707
28 662 398
445 663 441
648 828 13
130 60 15
374 303 68
248 86 411
806 462 406
135 604 188
800 450 593
330 135 324
701 381 730
418 563 425
81 312 67
239 481 569
360 288 866
485 369 492
369 384 223
562 483 548
355 304 232
459 864 506
681 872 371
874 265 136
291 315 687
935 202 651
25 681 260
556 91 534
215 286 245
17 459 17
395 611 460
747 274 731
127 808 355
259 177 82
342 778 465
151 620 881
709 760 966
161 867 99
812 215 419
231 17 80
673 530 214
770 930 841
445 974 921
229 518 896
706 980 846
983 70 756
508 506 633
730 410 650
437 378 824
141 478 770
371 586 424
34 957 679
30 286 305
452 524 595
888 896 281
236 651 459
804 959 798
15 107 628
344 265 818
652 53 763
149 760 529
66 432 288
488 695 737
914 150 899
228 783 844
202 965 799
90 291 566
891 236 33
602 114 719
45 287 542
18 947 899
875 539 465
338 934 795
104 20 776
90 116 28
971 354 223
392 809 697
468 461 688
303 929 151
342 885 821
224 629 667
171 343 129
668 12 800
985 282 181
602 422 529
423 802 589
269 402 332
707 633 346
124 676 477
232 604 739
50 753 306
175 126 258
256 701 626
335 797 46
821 404 60
305 391 71
881 299 343
795 107 394
49 266 215
31 832 344
772 876 986
524 19 28
727 890 933
76 861 650
677 55 957
851 201 342
399 659 842
305 384 277
126 985 993
469 753 402
334 271 217
437 612 878
642 898 189
10 304 609
416 527 803
438 220 649
208 287 350
256 571 253
950 364 369
54 788 982
208 581 327
659 320 773
230 746 627
472 68 688
690 220 341
487 112 462
499 106 859
85 953 43
568 260 270
582 747 820
317 971 419
981 819 79
985 486 325
830 624 123
27 684 629
245 956 926
176 580 263
55 615 328
772 86 718
513 493 465
269 438 388
738 237 76
459 182 373
306 190 566
668 644 903
420 10 160
366 355 345
604 234 240
642 423 114
303 645 265
670 45 428
843 70 393
456 768 719
421 348 446
558 845 236
321 906 249
804 698 285
93 498 6
435 729 406
841 61 509
435 828 521
869 655 187
451 108 189
550 390 109
14 453 418
912 986 499
198 557 961
118 218 266
424 973 989
135 805 650
500 569 830
306 73 161
275 165 61
978 972 164
134 478 431
490 536 220
254 464 457
783 923 989
43 761 450
312 160 747
118 527 606
457 510 196
952 318 614
287 534 843
295 802 809
118 352 392
515 353 502
799 114 943
934 202 90
948 455 910
248 58 264
562 15 879
