961 994
70 476 967
365 560 119
576 98 567
577 844 51
360 361 -876
86 80 -857
201 752 -566
926 245 784
488 439 -610
100 762 102
393 467 -732
151 206 -917
351 517 -936
81 639 -858
559 517 894
132 542 465
875 934 938
617 179 872
683 617 -445
483 253 357
164 453 -721
491 929 129
819 101 -435
148 275 -648
229 53 548
156 9 248
540 629 25
921 835 455
482 578 -691
249 47 278
104 189 974
318 616 -23
901 142 102
362 481 195
813 894 -152
597 940 273
663 530 -557
317 354 1000
711 614 281
321 90 -75
683 149 56
327 127 -519
703 353 624
448 835 842
383 922 699
670 543 -569
644 582 100
852 523 -289
401 631 -605
238 597 233
155 568 -131
69 760 298
419 711 -18
580 566 -735
156 533 527
834 767 -770
625 23 786
74 428 -45
876 134 865
610 61 -282
772 361 817
783 677 614
537 337 -479
402 404 46
2 248 416
272 651 -237
88 67 -680
40 938 -793
566 771 794
327 40 -826
207 430 925
41 953 -468
324 397 644
885 578 910
806 174 469
261 315 -234
917 852 -519
457 419 -306
62 200 -628
909 387 88
483 130 -540
192 769 570
806 757 753
179 539 385
539 449 98
947 644 -201
833 660 -652
133 460 -62
221 910 399
474 540 -371
920 591 -84
27 779 -904
169 60 958
719 192 506
833 568 327
550 96 -555
913 459 -779
440 271 -858
375 453 -296
246 671 -263
194 472 875
662 717 -3
848 576 165
645 825 77
103 191 -915
602 257 -377
645 895 511
754 7 -902
419 767 970
470 7 -846
578 252 -252
622 338 707
168 726 -26
443 157 -926
320 722 -495
757 73 379
599 483 -791
324 354 686
328 825 -150
753 442 -224
773 602 -421
917 738 223
716 799 414
807 383 -238
769 887 954
635 558 731
728 370 542
496 587 756
530 583 -909
27 582 841
324 169 173
107 464 -640
540 94 586
961 304 855
86 150 -513
591 919 324
942 705 -990
300 81 930
91 280 117
961 569 653
837 295 294
596 181 -74
808 13 -860
100 456 120
62 204 -631
180 681 -399
537 140 660
664 366 921
351 818 938
141 861 -830
845 48 447
660 599 484
158 574 -122
437 689 46
887 189 -90
466 540 559
59 789 871
739 611 205
812 41 -633
70 135 829
75 82 -20
217 668 803
359 200 -743
369 39 857
223 818 66
411 13 -448
176 565 -689
541 27 -798
342 154 -953
816 347 -71
500 395 -8
26 98 536
121 64 178
289 719 -125
124 272 684
97 179 -878
440 596 -494
429 250 -529
576 859 555
915 879 138
819 143 161
514 425 -667
734 818 188
628 373 893
4 707 978
926 749 988
168 323 332
459 555 -460
519 719 322
284 175 954
559 588 -473
547 649 -47
548 590 403
942 747 -650
587 498 575
212 166 -480
10 90 17
531 275 -596
207 335 -744
852 278 169
699 571 -107
719 593 -472
823 420 225
501 476 538
290 526 976
609 775 -489
646 11 -765
227 628 78
644 336 610
329 646 204
11 549 -657
114 374 -603
503 754 89
334 680 -169
478 861 283
225 445 633
254 139 -254
766 35 -999
168 913 461
77 497 150
183 240 510
688 344 735
316 227 -192
428 76 -406
535 705 695
168 116 -976
148 759 -200
757 865 -893
845 742 357
182 827 -677
547 536 -502
869 359 -888
742 151 -576
279 98 557
958 648 648
565 309 871
41 802 427
170 710 -922
283 559 517
5 543 -981
455 493 -440
421 548 -378
710 484 982
24 773 194
303 511 364
588 720 -889
849 251 901
480 899 283
179 428 -333
753 523 -821
710 376 -305
129 697 596
199 114 -366
732 848 -606
410 727 122
490 407 -945
886 903 -335
848 409 717
501 910 810
98 11 829
736 545 -232
917 750 79
444 742 -809
16 526 857
795 693 -156
135 862 628
933 868 767
573 127 395
417 220 410
628 233 560
585 277 -426
191 845 -393
492 356 760
287 240 2
515 134 -394
410 127 -845
473 506 65
316 866 -502
229 886 -418
134 67 347
805 752 -265
55 339 213
698 594 -525
176 810 -153
306 663 -575
399 739 -46
452 680 398
143 957 -46
488 147 -655
719 438 -301
200 612 -598
547 313 -265
315 725 -388
117 758 -740
300 716 652
7 306 -12
179 583 365
741 94 -610
840 285 641
221 328 -493
777 443 -715
778 706 -860
429 135 -295
942 204 424
402 268 173
643 56 290
724 859 -129
543 655 -211
942 668 -540
354 220 -991
552 764 -961
299 180 -42
605 715 -494
858 845 -292
158 747 -267
594 483 597
569 482 -425
926 675 574
53 275 310
514 215 420
102 267 -829
244 364 -659
65 754 -211
285 514 -381
145 786 -818
54 465 -537
755 960 -597
104 256 -947
596 383 -611
605 598 153
59 192 -223
550 471 535
293 244 -145
47 324 -636
209 283 635
870 919 -148
937 248 -60
689 225 805
290 317 379
495 182 216
278 103 -662
79 282 -567
817 484 -67
591 134 -412
104 310 549
65 771 563
372 736 -615
559 152 -463
923 344 135
742 355 -122
488 536 499
706 635 78
723 307 174
514 616 -393
711 19 -499
219 361 -774
684 443 410
188 889 423
534 654 -343
531 789 -987
498 743 -384
754 259 -497
321 838 -935
877 669 -748
887 170 -196
231 180 278
447 811 -203
797 387 432
449 849 -108
175 847 493
690 657 955
762 492 736
789 616 171
694 747 -40
898 304 -581
135 961 763
334 761 760
199 618 -948
301 535 -512
388 797 -874
85 368 -229
920 776 -811
120 527 313
78 159 800
623 645 341
955 707 872
910 230 -728
300 575 512
761 885 -148
933 121 106
271 350 751
786 227 82
267 660 -156
73 430 369
734 294 639
837 236 -407
380 386 12
450 189 586
370 256 393
622 409 -911
395 420 44
635 615 371
94 123 -900
157 403 -639
887 671 378
235 400 192
354 870 611
699 506 544
407 838 213
324 895 -465
87 931 -990
636 546 -167
961 131 268
427 379 344
196 408 -197
826 216 -774
458 549 172
338 501 600
159 739 -881
682 786 -648
163 749 269
142 487 192
874 570 158
203 846 292
886 237 -410
838 717 -871
382 789 131
792 830 -44
899 649 308
186 815 -381
640 737 490
744 317 -869
232 525 962
167 316 -957
422 377 952
601 469 -790
442 176 -93
689 274 -557
754 370 -958
242 643 28
956 237 -801
12 369 393
741 940 -893
244 681 326
852 545 953
315 281 -988
362 22 307
431 504 -513
743 862 -100
906 679 -401
758 247 842
263 813 247
961 344 566
868 356 564
722 48 -252
59 710 25
823 873 992
113 478 -273
338 742 341
834 125 552
347 355 -548
606 410 235
607 133 -427
647 382 595
372 295 943
153 687 -720
91 141 -623
582 304 416
840 559 423
302 50 -571
212 224 66
133 906 852
215 340 -979
97 789 950
241 363 232
446 707 -315
700 260 612
873 346 918
236 365 632
175 708 -170
197 356 22
105 73 -405
170 133 -384
96 479 -168
832 103 -259
866 808 804
370 870 692
453 505 528
459 126 722
27 53 -132
14 566 -225
439 312 -777
636 447 931
871 854 834
496 79 861
570 13 -4
648 689 -828
689 813 180
235 668 -586
68 540 48
354 701 -292
675 386 -698
203 408 -45
263 763 -540
952 872 360
81 771 -829
308 363 553
783 929 -67
319 887 -627
145 871 760
147 103 811
339 796 52
862 678 620
720 918 -769
200 30 -188
66 454 -217
570 721 -232
794 299 -192
832 541 253
184 283 368
836 889 -381
745 881 -857
80 277 -644
354 67 -117
492 156 -383
150 419 836
88 276 -720
68 431 523
729 308 862
712 106 -270
85 349 -451
631 555 382
72 370 997
33 806 462
288 873 -672
600 7 81
40 169 -74
899 72 292
306 299 871
721 751 749
477 684 -509
506 418 -645
673 909 -202
270 611 550
68 464 -354
510 16 -157
894 587 -942
295 98 -178
958 644 928
663 402 -227
290 113 -805
933 379 -781
761 174 -564
958 486 -675
942 245 -123
816 731 461
776 539 716
241 644 931
8 731 446
318 695 -3
229 696 -791
384 238 -485
604 139 -621
760 144 963
403 552 -681
309 825 985
765 57 199
881 830 493
401 475 -129
96 896 -104
213 181 -716
886 357 669
526 270 449
505 455 -798
286 685 625
59 652 -295
774 829 -307
790 594 -370
952 798 918
339 241 296
352 363 695
885 174 -892
497 956 357
373 946 -667
758 549 806
264 383 -271
101 460 -372
517 720 -670
72 572 -260
701 758 -213
374 736 -667
336 622 699
446 639 351
498 401 712
336 118 949
639 40 956
618 263 -357
651 114 328
567 521 -444
880 148 -235
271 555 -360
225 939 -749
455 571 70
821 867 -56
554 36 -93
529 440 -437
862 196 -208
873 568 275
716 122 900
294 254 -453
106 930 725
318 413 -109
159 550 454
136 229 388
83 765 892
721 652 -198
316 93 -557
536 580 -455
886 801 315
572 803 -751
602 750 504
180 435 -174
